time,lon,lat,pm2p5
2021-01-01 00:00:00,18.950000000000006,47.25,26.125
2021-01-01 01:00:00,18.950000000000006,47.25,25.257812
2021-01-01 02:00:00,18.950000000000006,47.25,23.117188
2021-01-01 03:00:00,18.950000000000006,47.25,20.835938
2021-01-01 04:00:00,18.950000000000006,47.25,20.914062
2021-01-01 05:00:00,18.950000000000006,47.25,18.804688
2021-01-01 06:00:00,18.950000000000006,47.25,17.625
2021-01-01 07:00:00,18.950000000000006,47.25,16.828125
2021-01-01 08:00:00,18.950000000000006,47.25,16.710938
2021-01-01 09:00:00,18.950000000000006,47.25,16.0625
2021-01-01 10:00:00,18.950000000000006,47.25,15.464844
2021-01-01 11:00:00,18.950000000000006,47.25,14.828125
2021-01-01 12:00:00,18.950000000000006,47.25,13.636719
2021-01-01 13:00:00,18.950000000000006,47.25,11.941406
2021-01-01 14:00:00,18.950000000000006,47.25,12.359375
2021-01-01 15:00:00,18.950000000000006,47.25,13.7734375
2021-01-01 16:00:00,18.950000000000006,47.25,16.890625
2021-01-01 17:00:00,18.950000000000006,47.25,20.1875
2021-01-01 18:00:00,18.950000000000006,47.25,21.257812
2021-01-01 19:00:00,18.950000000000006,47.25,23.03125
2021-01-01 20:00:00,18.950000000000006,47.25,23.515625
2021-01-01 21:00:00,18.950000000000006,47.25,23.84375
2021-01-01 22:00:00,18.950000000000006,47.25,22.625
2021-01-01 23:00:00,18.950000000000006,47.25,18.726562
2021-01-02 00:00:00,18.950000000000006,47.25,17.4375
2021-01-02 01:00:00,18.950000000000006,47.25,15.136719
2021-01-02 02:00:00,18.950000000000006,47.25,13.15625
2021-01-02 03:00:00,18.950000000000006,47.25,14.0625
2021-01-02 04:00:00,18.950000000000006,47.25,18.3125
2021-01-02 05:00:00,18.950000000000006,47.25,20.367188
2021-01-02 06:00:00,18.950000000000006,47.25,21.664062
2021-01-02 07:00:00,18.950000000000006,47.25,23.703125
2021-01-02 08:00:00,18.950000000000006,47.25,25.109375
2021-01-02 09:00:00,18.950000000000006,47.25,24.851562
2021-01-02 10:00:00,18.950000000000006,47.25,22.820312
