time,tg,hu,rr,pp
1995-05-07,18.15,53.5,0.0,1012.2
1995-05-08,17.96,45.2,1.4,1012.7
1995-05-09,15.87,67.4,0.1,1008.5
1995-05-10,13.509999,53.100002,1.4,1012.5
1995-05-11,14.799999,64.700005,0.0,1009.5
1995-05-12,14.63,75.6,6.5,1003.2
1995-05-13,17.21,65.0,0.1,994.0
1995-05-14,9.849999,75.4,0.0,1004.9
1995-05-15,10.48,56.3,0.0,1017.4
1995-05-16,12.53,53.600002,0.0,1017.10004
1995-05-17,13.5199995,71.6,4.9,1012.8
1995-05-18,15.0,75.700005,0.0,1011.10004
1995-05-19,13.74,87.0,16.5,1009.5
1995-05-20,10.75,86.200005,3.7,1013.3
1995-05-21,12.33,77.0,0.0,1018.10004
1995-05-22,14.37,67.1,0.0,1018.9
1995-05-23,15.32,57.5,0.0,1015.10004
1995-05-24,18.48,47.2,0.0,1012.10004
1995-05-25,19.6,47.4,0.0,1013.60004
1995-05-26,21.13,53.7,0.0,1015.8
1995-05-27,23.34,59.2,0.0,1017.7
1995-05-28,22.26,71.8,6.9,1019.9
1995-05-29,23.58,63.3,0.0,1017.8
1995-05-30,22.119999,66.9,1.4,1013.60004
1995-05-31,22.89,65.700005,13.900001,1010.10004
1995-06-01,20.82,74.1,3.9,1008.4
1995-06-02,18.5,69.200005,0.8,1010.60004
1995-06-03,15.339999,65.700005,0.0,1014.3
1995-06-04,17.6,59.3,0.0,1017.7
1995-06-05,18.49,70.1,8.3,1017.0
1995-06-06,18.76,67.6,6.9,1014.5
1995-06-07,17.029999,82.200005,1.1,1012.2
1995-06-08,19.41,71.200005,0.0,1012.9
1995-06-09,20.76,67.9,2.0,1013.8
1995-06-10,19.699999,71.0,0.0,1013.60004
1995-06-11,19.75,74.8,14.6,1009.2
1995-06-12,17.72,82.700005,14.6,1008.60004
1995-06-13,18.76,72.0,0.0,1010.10004
1995-06-14,19.65,64.3,0.0,1012.2
1995-06-15,18.039999,72.6,0.0,1014.4
1995-06-16,19.25,58.0,0.0,1014.7
1995-06-17,19.619999,56.100002,0.0,1015.3
1995-06-18,19.59,58.3,0.0,1014.10004
1995-06-19,20.13,62.600002,0.0,1018.3
1995-06-20,21.9,51.9,0.0,1021.5
1995-06-21,23.64,56.4,4.4,1019.0
1995-06-22,19.789999,76.1,0.0,1013.10004
1995-06-23,15.509999,58.7,0.0,1013.7
1995-06-24,15.4,69.200005,2.2,1013.5
1995-06-25,15.219999,82.200005,5.4,1012.2
1995-06-26,17.25,82.6,3.4,1010.7
1995-06-27,20.65,68.4,0.0,1011.10004
1995-06-28,23.1,59.600002,0.0,1009.8
1995-06-29,21.67,52.8,0.0,1011.5
1995-06-30,23.529999,52.8,0.0,1012.3
1995-07-01,25.64,53.2,0.0,1013.10004
1995-07-02,25.599998,56.4,0.0,1011.0
1995-07-03,25.67,56.7,0.0,1005.5
1995-07-04,23.65,60.5,0.0,1008.2
1995-07-05,21.83,54.100002,0.0,1016.8
1995-07-06,22.55,48.2,0.0,1017.9
1995-07-07,22.869999,52.5,0.0,1017.7
1995-07-08,24.21,48.9,0.0,1020.5
1995-07-09,25.33,48.4,0.0,1020.2
1995-07-10,26.16,46.2,0.0,1017.5
1995-07-11,26.68,44.4,0.0,1011.5
1995-07-12,27.529999,43.2,0.0,1010.7
1995-07-13,27.41,49.9,0.0,1013.2
1995-07-14,24.519999,64.8,7.6,1011.9
1995-07-15,23.43,71.4,3.2,1010.4
1995-07-16,24.74,63.5,0.0,1009.60004
1995-07-17,23.68,55.600002,0.0,1011.9
1995-07-18,24.779999,46.5,0.0,1014.5
1995-07-19,24.34,54.7,0.0,1017.2
1995-07-20,25.55,46.5,0.0,1019.5
1995-07-21,25.65,47.5,0.0,1018.60004
1995-07-22,27.98,46.9,0.0,1015.0
1995-07-23,26.49,55.600002,0.0,1014.3
1995-07-24,23.15,56.4,0.0,1018.3
1995-07-25,23.42,51.8,0.0,1017.8
1995-07-26,24.57,45.9,0.0,1017.2
1995-07-27,25.38,42.7,0.0,1017.5
1995-07-28,25.76,44.8,0.0,1015.9
1995-07-29,24.72,52.100002,0.0,1015.10004
1995-07-30,25.35,43.8,0.0,1014.10004
1995-07-31,25.93,40.2,0.0,1013.0
1995-08-01,24.55,47.3,3.1000001,1011.9
1995-08-02,21.39,58.100002,0.0,1012.60004
1995-08-03,20.63,58.0,1.3000001,1011.8
1995-08-04,22.279999,57.0,0.0,1011.0
1995-08-05,22.529999,51.600002,1.8000001,1013.60004
1995-08-06,23.779999,46.5,0.0,1015.8
1995-08-07,24.35,45.3,8.0,1013.3
1995-08-08,23.119999,68.3,5.9,1011.3
1995-08-09,19.15,77.8,3.5,1016.5
1995-08-10,21.189999,53.0,0.0,1019.8
1995-08-11,22.449999,47.0,0.0,1021.10004
1995-08-12,21.99,40.5,0.0,1022.0
1995-08-13,21.949999,46.3,0.0,1019.10004
1995-08-14,23.369999,40.600002,0.0,1013.9
1995-08-15,22.25,60.0,0.0,1012.8
1995-08-16,18.92,57.600002,0.0,1013.60004
1995-08-17,20.119999,65.9,0.0,1016.3
1995-08-18,23.15,55.3,0.0,1017.10004
1995-08-19,23.05,54.9,0.0,1017.60004
1995-08-20,21.71,66.5,0.7,1015.60004
1995-08-21,22.81,66.3,1.8000001,1014.5
1995-08-22,23.23,63.7,0.0,1015.10004
1995-08-23,25.279999,55.8,0.0,1015.3
1995-08-24,24.34,63.100002,1.6,1012.10004
1995-08-25,22.8,63.9,5.1,1010.10004
1995-08-26,21.289999,66.9,0.0,1007.2
1995-08-27,19.029999,60.4,1.3000001,1009.9
1995-08-28,14.509999,82.8,19.9,1004.7
1995-08-29,13.059999,71.4,0.0,1006.3
1995-08-30,12.88,72.6,0.0,1011.4
1995-08-31,13.23,61.7,0.0,1014.5
1995-09-01,12.7699995,69.200005,1.1,1011.9
1995-09-02,13.349999,81.700005,0.0,1011.3
1995-09-03,15.49,78.3,14.900001,1009.9
1995-09-04,14.03,87.0,6.8,1004.2
1995-09-05,15.25,57.5,0.0,1008.0
1995-09-06,15.679999,69.0,0.0,1006.5
1995-09-07,17.58,64.200005,0.0,1008.60004
1995-09-08,17.57,74.8,9.8,1006.9
1995-09-09,16.859999,80.4,7.2000003,1008.5
1995-09-10,16.98,65.8,0.0,1014.5
1995-09-11,17.55,64.1,0.0,1015.7
1995-09-12,19.26,66.8,0.0,1017.9
1995-09-13,20.89,65.8,0.0,1016.5
1995-09-14,19.81,77.0,2.0,1010.60004
1995-09-15,16.5,83.9,3.1000001,1004.10004
1995-09-16,16.039999,69.5,0.0,1011.7
1995-09-17,15.21,86.0,7.0,1016.3
1995-09-18,16.01,80.3,0.0,1020.7
1995-09-19,15.48,81.1,8.5,1019.4
1995-09-20,14.559999,87.1,3.1000001,1010.4
1995-09-21,15.29,82.6,0.0,1009.9
1995-09-22,12.799999,80.700005,0.0,1015.9
1995-09-23,13.12,74.1,0.0,1019.8
1995-09-24,14.259999,70.6,0.0,1020.5
1995-09-25,13.32,77.3,0.0,1018.7
1995-09-26,14.48,74.5,0.0,1020.9
1995-09-27,16.369999,68.0,0.0,1017.2
1995-09-28,13.639999,72.3,1.1,1014.2
1995-09-29,10.53,68.5,0.0,1015.7
1995-09-30,10.01,62.9,2.4,1015.3
1995-10-01,8.059999,72.4,0.0,1015.2
1995-10-02,10.63,76.5,0.0,1022.9
1995-10-03,12.46,78.3,0.0,1026.2001
1995-10-04,14.99,73.3,0.0,1024.4
1995-10-05,15.98,74.5,0.0,1022.10004
1995-10-06,16.55,78.0,0.0,1024.0
1995-10-07,17.55,75.1,0.0,1027.4
1995-10-08,16.69,82.4,0.0,1028.7001
1995-10-09,17.24,85.0,0.0,1026.9
1995-10-10,16.99,84.9,0.0,1026.3
1995-10-11,16.81,81.5,0.0,1026.0
1995-10-12,16.359999,74.700005,0.0,1026.6
1995-10-13,15.9,81.1,0.0,1025.9
1995-10-14,15.69,81.0,0.0,1022.3
1995-10-15,14.28,82.9,0.0,1021.9
1995-10-16,12.83,83.700005,0.0,1024.9
1995-10-17,13.759999,81.5,0.0,1028.9
1995-10-18,13.11,80.8,0.0,1028.8
1995-10-19,13.929999,78.9,0.0,1026.7001
1995-10-20,14.75,68.9,0.0,1020.60004
1995-10-21,11.8,58.4,0.0,1021.2
1995-10-22,7.71,64.0,0.0,1029.1
1995-10-23,6.2799997,61.7,0.0,1033.4
1995-10-24,6.5499997,65.1,0.0,1032.8
1995-10-25,6.71,69.4,0.0,1028.2001
1995-10-26,7.46,66.0,0.0,1027.1
1995-10-27,7.98,68.9,0.0,1025.0
1995-10-28,8.55,72.700005,0.0,1020.0
1995-10-29,10.82,79.200005,0.0,1018.10004
1995-10-30,10.4,79.700005,0.0,1018.5
1995-10-31,12.07,77.8,0.0,1022.4
1995-11-01,9.76,79.4,7.6,1016.3
1995-11-02,8.09,81.9,0.5,1005.7
1995-11-03,5.46,78.6,4.2000003,1003.4
1995-11-04,3.1799998,71.9,0.0,1006.0
1995-11-05,1.5,78.4,1.9,1018.8
1995-11-06,2.4299998,68.5,0.0,1017.4
1995-11-07,3.9399998,66.700005,0.0,1012.10004
1995-11-08,2.6499999,60.5,0.0,1017.9
1995-11-09,1.35,62.4,0.0,1019.4
1995-11-10,2.1399999,72.8,0.0,1023.10004
1995-11-11,2.02,77.1,0.0,1024.7001
1995-11-12,4.5,80.6,0.0,1020.7
1995-11-13,6.1099997,70.8,0.0,1021.8
1995-11-14,6.1099997,74.200005,0.0,1018.10004
1995-11-15,7.6099997,79.8,0.0,1014.4
1995-11-16,9.58,84.5,2.3,1008.2
1995-11-17,11.809999,83.3,9.3,1001.2
1995-11-18,4.68,65.200005,0.0,1006.2
1995-11-19,0.7,71.9,1.1,1016.2
1995-11-20,1.2099999,88.9,4.1,1016.2
1995-11-21,-0.29,75.4,0.0,1031.7001
1995-11-22,-1.9599999,77.0,0.0,1033.6
1995-11-23,-3.02,82.700005,0.0,1030.7001
1995-11-24,-2.8899999,89.5,0.0,1029.9
1995-11-25,-3.33,88.3,0.0,1027.4
1995-11-26,-1.65,81.4,0.0,1024.0
1995-11-27,2.28,73.8,0.0,1019.4
1995-11-28,5.69,73.6,1.8000001,1017.7
1995-11-29,5.89,89.9,11.5,1019.10004
1995-11-30,4.68,92.3,2.1000001,1025.2001
1995-12-01,3.6399999,84.0,0.0,1030.2001
1995-12-02,3.79,88.8,0.0,1029.8
1995-12-03,4.0499997,87.200005,0.0,1024.8
1995-12-04,3.1699998,87.5,7.3,1019.0
1995-12-05,0.17,,6.8,1018.60004
1995-12-06,0.0,93.1,3.9,1023.4
1995-12-07,2.3999999,85.5,0.0,1027.0
1995-12-08,3.1799998,80.1,0.0,1034.0
1995-12-09,2.61,77.9,0.0,1035.9
1995-12-10,1.81,80.0,0.0,1036.8
1995-12-11,-0.29,90.5,2.0,1028.4
1995-12-12,0.26,89.0,6.4,1022.9
1995-12-13,-0.22999999,85.6,14.900001,1024.0
1995-12-14,2.4099998,85.5,0.0,1022.2
1995-12-15,1.52,80.1,0.0,1029.1
1995-12-16,-1.0699999,83.200005,0.0,1031.9
1995-12-17,-0.12,86.8,0.0,1028.3
1995-12-18,0.69,90.4,0.0,1019.0
1995-12-19,2.56,86.6,0.0,1014.2
1995-12-20,2.87,84.6,0.0,1012.5
1995-12-21,1.4599999,65.1,2.5,1020.3
1995-12-22,-1.65,83.8,0.0,1017.8
1995-12-23,1.89,88.5,4.7000003,1001.4
1995-12-24,6.72,85.700005,0.0,997.4
1995-12-25,5.04,90.700005,5.4,997.5
1995-12-26,3.9499998,82.5,13.6,998.8
1995-12-27,0.93,85.0,0.1,1005.4
1995-12-28,-3.5,75.6,0.0,1015.0
1995-12-29,-6.77,78.700005,0.0,1025.8
1995-12-30,-5.1,74.1,1.8000001,1020.5
1995-12-31,-3.8799999,85.8,11.1,1010.10004
1996-01-01,0.38,,6.3,1002.9
1996-01-02,0.89,91.8,1.1,1006.0
1996-01-03,-2.6699998,81.8,1.8000001,1014.8
1996-01-04,-1.5699999,76.0,0.0,1019.8
1996-01-05,-1.91,79.4,0.0,1017.8
1996-01-06,-5.8599997,87.0,0.0,1017.2
1996-01-07,-2.82,86.4,1.2,1016.9
1996-01-08,1.9599999,86.5,4.9,1018.7
1996-01-09,2.31,90.5,15.3,1022.3
1996-01-10,3.07,90.3,0.0,1021.2
1996-01-11,3.52,86.6,0.0,1019.3
1996-01-12,3.9199998,83.9,0.0,1017.7
1996-01-13,2.8899999,79.700005,0.0,1023.10004
1996-01-14,1.9399999,79.4,0.0,1028.9
1996-01-15,1.88,80.4,0.0,1033.1
1996-01-16,-1.93,86.5,0.0,1033.6
1996-01-17,-2.73,85.6,0.0,1034.0
1996-01-18,-4.24,87.9,0.0,1027.5
1996-01-19,-2.79,84.9,0.90000004,1021.10004
1996-01-20,-1.87,82.700005,0.0,1022.8
1996-01-21,-1.18,78.9,0.0,1026.4
1996-01-22,-3.8899999,85.4,0.0,1028.1
1996-01-23,-5.23,78.9,1.7,1029.2001
1996-01-24,-5.45,85.0,16.2,1022.7
1996-01-25,-6.19,84.1,6.2000003,1019.2
1996-01-26,-3.78,90.3,0.0,1019.0
1996-01-27,0.64,87.1,9.0,1018.0
1996-01-28,0.72999996,90.5,0.0,1020.8
1996-01-29,0.25,91.5,0.0,1023.9
1996-01-30,-0.71,68.4,0.0,1027.9
1996-01-31,-2.35,65.3,0.0,1032.2001
1996-02-01,-4.97,66.8,0.0,1032.6
1996-02-02,-6.3599997,78.3,0.0,1023.5
1996-02-03,-2.51,77.8,0.3,1012.4
1996-02-04,0.59999996,77.0,0.0,1011.10004
1996-02-05,-2.7,69.3,0.0,1011.0
1996-02-06,-3.61,65.9,2.0,1007.4
1996-02-07,-4.93,81.6,0.0,1008.3
1996-02-08,-4.65,84.6,5.4,1005.2
1996-02-09,-6.27,77.9,0.0,1016.0
1996-02-10,-5.0899997,80.5,0.0,1022.8
1996-02-11,-4.71,83.4,0.0,1023.4
1996-02-12,-2.83,85.8,0.0,1020.3
1996-02-13,-1.54,86.5,13.1,1006.60004
1996-02-14,1.3399999,87.0,0.0,1009.0
1996-02-15,-1.4499999,75.5,0.0,1024.6
1996-02-16,-1.0,72.9,0.0,1021.2
1996-02-17,3.75,69.3,0.0,1010.2
1996-02-18,3.9099998,65.6,0.0,1013.0
1996-02-19,2.48,75.200005,1.4,1003.8
1996-02-20,3.03,81.8,0.0,1002.2
1996-02-21,1.1999999,73.6,0.0,1006.8
1996-02-22,-2.1699998,70.0,0.0,1011.5
1996-02-23,-2.6499999,66.4,0.0,1015.2
1996-02-24,-3.33,66.8,0.0,1015.4
1996-02-25,-1.8499999,66.8,0.0,1022.5
1996-02-26,-0.98999995,67.5,0.0,1027.6
1996-02-27,0.31,63.3,0.0,1025.9
1996-02-28,0.39,64.3,0.0,1026.4
1996-02-29,0.93,65.8,0.0,1023.7
1996-03-01,1.41,70.6,0.0,1012.9
1996-03-02,-0.24,69.1,0.0,1010.2
1996-03-03,-1.3399999,65.1,0.0,1011.4
1996-03-04,-2.36,65.200005,0.0,1015.5
1996-03-05,-1.7099999,62.8,0.0,1018.60004
1996-03-06,2.78,67.0,0.0,1020.0
1996-03-07,1.54,64.0,0.0,1024.4
1996-03-08,1.0699999,59.9,0.0,1030.9
1996-03-09,0.5,60.8,0.0,1031.8
1996-03-10,-0.5,57.8,0.0,1027.7001
1996-03-11,-1.24,62.4,0.0,1020.5
1996-03-12,-1.4499999,72.3,1.7,1016.4
1996-03-13,0.96999997,86.8,2.9,1014.5
1996-03-14,3.6799998,81.200005,0.0,1015.60004
1996-03-15,5.29,71.8,0.0,1017.10004
1996-03-16,5.7599998,72.8,0.0,1015.3
1996-03-17,6.12,77.0,0.0,1016.4
1996-03-18,4.27,87.8,0.0,1019.60004
1996-03-19,4.22,69.5,0.0,1018.3
1996-03-20,2.87,75.8,0.0,1016.2
1996-03-21,4.36,65.8,0.0,1018.8
1996-03-22,5.41,63.100002,0.0,1020.10004
1996-03-23,6.67,61.100002,0.0,1023.5
1996-03-24,6.2999997,75.0,3.3,1023.10004
1996-03-25,7.5,76.4,0.0,1019.5
1996-03-26,6.8799996,67.9,0.0,1017.60004
1996-03-27,6.3999996,75.1,2.5,1009.4
1996-03-28,4.75,52.5,0.0,1011.8
1996-03-29,5.39,55.100002,0.0,1009.8
1996-03-30,5.08,64.1,0.0,1009.3
1996-03-31,4.5699997,62.100002,0.0,1010.10004
1996-04-01,4.73,61.7,2.4,1013.60004
1996-04-02,5.92,89.700005,17.1,1009.10004
1996-04-03,9.15,88.0,4.7000003,1009.5
1996-04-04,10.99,82.6,0.7,1014.10004
1996-04-05,12.009999,71.200005,0.0,1015.10004
1996-04-06,13.37,61.8,0.0,1016.2
1996-04-07,13.889999,49.2,0.0,1018.5
1996-04-08,13.549999,42.600002,0.0,1021.10004
1996-04-09,12.9,49.8,0.0,1019.8
1996-04-10,10.49,52.600002,0.0,1017.60004
1996-04-11,11.88,50.3,0.0,1012.4
1996-04-12,10.08,65.200005,0.4,1009.5
1996-04-13,4.18,58.8,0.0,1013.8
1996-04-14,3.35,77.0,1.6,1015.5
1996-04-15,4.5899997,63.9,0.0,1015.9
1996-04-16,7.6699996,65.200005,0.0,1011.7
1996-04-17,12.91,51.0,0.0,1010.8
1996-04-18,13.66,50.2,0.0,1015.3
1996-04-19,15.75,43.8,0.0,1019.60004
1996-04-20,16.14,46.8,0.0,1019.9
1996-04-21,17.17,47.5,0.0,1019.10004
1996-04-22,17.539999,47.100002,0.0,1019.9
1996-04-23,17.859999,44.8,0.0,1016.8
1996-04-24,17.51,48.5,0.0,1015.3
1996-04-25,17.07,68.4,0.0,1019.10004
1996-04-26,17.38,65.8,0.0,1018.8
1996-04-27,16.949999,65.1,0.0,1016.2
1996-04-28,16.84,60.2,0.0,1010.5
1996-04-29,18.859999,58.3,0.0,1005.5
1996-04-30,17.93,64.4,0.7,1005.4
1996-05-01,16.859999,76.9,6.7000003,1003.2
1996-05-02,17.82,62.2,0.0,1002.10004
1996-05-03,16.44,63.2,5.0,1004.10004
1996-05-04,14.33,62.3,0.0,1010.10004
1996-05-05,15.74,58.8,0.0,1016.10004
1996-05-06,16.02,69.3,0.0,1014.9
1996-05-07,19.5,70.6,0.0,1013.3
1996-05-08,19.67,70.8,5.4,1011.2
1996-05-09,19.02,70.0,2.4,1006.5
1996-05-10,16.09,76.8,3.3,1006.10004
1996-05-11,17.56,76.1,2.4,1008.10004
1996-05-12,19.47,72.1,6.4,1005.9
1996-05-13,18.38,80.9,6.7000003,1007.9
1996-05-14,17.5,83.3,6.6,1004.0
1996-05-15,20.51,69.9,0.0,1003.9
1996-05-16,20.15,72.200005,0.0,1007.60004
1996-05-17,21.32,68.4,0.0,1010.7
1996-05-18,22.91,57.9,0.0,1010.0
1996-05-19,25.14,47.4,0.0,1009.4
1996-05-20,20.24,65.1,3.9,1008.8
1996-05-21,15.94,58.600002,0.0,1018.2
1996-05-22,14.92,68.6,0.3,1020.7
1996-05-23,14.969999,54.2,0.0,1021.4
1996-05-24,17.82,57.100002,0.0,1019.8
1996-05-25,21.1,52.600002,0.0,1014.7
1996-05-26,17.89,64.1,0.0,1013.8
1996-05-27,17.89,64.700005,11.2,1011.3
1996-05-28,14.059999,75.0,0.0,1006.8
1996-05-29,12.929999,67.8,0.0,1018.2
1996-05-30,18.199999,61.8,0.0,1022.7
1996-05-31,20.75,62.3,0.0,1021.7
1996-06-01,22.619999,58.8,0.0,1019.2
1996-06-02,24.039999,58.7,0.0,1015.3
1996-06-03,25.24,58.7,0.0,1014.2
1996-06-04,23.15,67.3,0.0,1019.2
1996-06-05,20.31,65.0,0.0,1025.7001
1996-06-06,22.41,53.600002,0.0,1025.2001
1996-06-07,23.96,56.9,0.0,1023.0
1996-06-08,25.39,53.4,0.0,1021.2
1996-06-09,26.22,54.3,0.0,1019.5
1996-06-10,27.72,52.3,0.0,1019.8
1996-06-11,27.18,52.4,0.0,1020.3
1996-06-12,26.9,54.0,0.0,1019.5
1996-06-13,22.21,60.3,0.0,1018.5
1996-06-14,16.859999,42.7,0.0,1024.0
1996-06-15,17.33,45.0,0.0,1023.60004
1996-06-16,17.539999,47.9,0.0,1021.60004
1996-06-17,18.359999,54.3,0.0,1020.10004
1996-06-18,20.72,49.8,0.0,1015.0
1996-06-19,20.3,60.2,2.2,1009.0
1996-06-20,21.449999,60.3,12.900001,1007.8
1996-06-21,19.39,75.3,10.0,1009.0
1996-06-22,20.41,77.3,1.8000001,1004.8
1996-06-23,13.9,76.1,1.4,1011.2
1996-06-24,15.48,62.3,0.0,1019.5
1996-06-25,17.51,62.3,0.0,1020.60004
1996-06-26,18.14,64.1,0.0,1014.8
1996-06-27,18.15,59.9,0.0,1015.2
1996-06-28,18.47,63.5,0.0,1016.9
1996-06-29,20.82,56.600002,0.0,1014.0
1996-06-30,17.92,62.4,0.0,1012.8
1996-07-01,16.33,73.700005,2.5,1012.7
1996-07-02,18.47,67.8,13.2,1011.9
1996-07-03,18.9,72.9,0.0,1013.0
1996-07-04,20.88,67.4,0.0,1017.2
1996-07-05,23.59,67.3,0.0,1014.10004
1996-07-06,23.949999,64.200005,0.8,1007.2
1996-07-07,22.779999,61.5,0.0,1007.9
1996-07-08,24.019999,62.5,6.7000003,1001.8
1996-07-09,15.15,60.4,0.0,1013.60004
